input_latitude,input_longitude,ll_uuid,parcel_address,parcel_city,parcel_state,parcel_zip,county,usecode,usedesc,zoning,zoning_description,zoning_type,zoning_subtype,structstyle,numunits,numstories,yearbuilt,sqft,acres,parcel_centroid_lat,parcel_centroid_lon,home_id,fema_flood_zone,fema_zone_subtype,fema_sfha,fema_static_bfe,fema_study_type,fema_zone_desc,fema_api_status,crime_burglary_residence,crime_arson,crime_robbery,crime_burglary_other,crime_theft_motor_vehicle,crime_theft_other,crime_vandalism,crime_other_property,crime_total,crime_insurance_score,hail_events_5yr,hail_max_size_in,hail_avg_size_in,hail_severe_events,hail_extreme_events,hail_damage_total_usd,tornado_events_5yr,tornado_damage_usd,tornado_max_fscale,wind_events_5yr,wind_max_mph,wind_damage_usd,flash_flood_events_5yr,flash_flood_damage_usd,storm_risk_score
32.747299,-96.585498,dc055626-3c21-48ea-8493-d123f69b92c8,1101 CARMODY DR,MESQUITE,TX,75149-6024,dallas,1,SINGLE FAMILY RESIDENCES,R-3,Single Family Residential,Residential,Single Family,13,,1.0,1965.0,,,32.747448,-96.585578,264,X,AREA OF MINIMAL FLOOD HAZARD,F,-9999.0,NP,"Moderate/minimal risk (shaded=0.2%, unshaded=minimal)",ok,0,0,0,0,0,0,0,0,0,0.0,9,1.75,1.18,2,0,17000.0,1,10000.0,0,5,65.0,105000.0,4,501020000.0,29.5
32.976333,-96.691778,784ac47c-484b-4445-b1ce-de9724c774f5,1707 CAMPBELL TRL,RICHARDSON,TX,75082-4805,dallas,2,COMMERCIAL IMPROVEMENTS,R-1800-M,Residential District,Residential,Single Family,CHURCH BUILDING,0.0,2.0,1980.0,,,32.976403,-96.692122,265,A,,T,-9999.0,NP,"High risk – 1% annual chance flood, no BFE determined",ok,0,0,0,0,0,0,0,0,0,0.0,23,3.0,1.48,12,5,1493000.0,0,0.0,0,11,67.0,20500.0,6,90000.0,101.5
32.805268,-96.567917,d2be7d93-34c5-48e5-bddc-a59935d8a40a,367 PEDMORE DR,SUNNYVALE,TX,75182-3246,dallas,1,SINGLE FAMILY RESIDENCES,PD(PRO-463,Master Planned Development And Residential Overlay,Overlay,Overlay,21,,2.0,2012.0,,,32.805585,-96.567977,266,X,AREA OF MINIMAL FLOOD HAZARD,F,-9999.0,NP,"Moderate/minimal risk (shaded=0.2%, unshaded=minimal)",ok,0,0,0,0,0,0,0,0,0,0.0,7,1.75,1.14,1,0,7000.0,1,10000.0,0,5,59.0,30000.0,2,1020000.0,20.5
32.724341,-96.661895,7432190f-bb0b-461f-a9de-eb20235d29e1,722 SOUTHGATE LN,DALLAS,TX,75217-4172,dallas,1,SFR - VACANT LOTS/TRACTS,R-7.5(A,Single Family District 7500 Square Feet,Residential,Single Family,LAND ONLY,,1.0,1988.0,,,32.724207,-96.661776,267,X,AREA OF MINIMAL FLOOD HAZARD,F,-9999.0,NP,"Moderate/minimal risk (shaded=0.2%, unshaded=minimal)",ok,0,0,0,2,0,12,0,0,14,12.6,8,2.0,1.33,3,2,310000.0,1,10000.0,0,5,65.0,88000.0,5,501020000.0,43.5
32.968674,-96.898011,8a473087-a14d-4355-9ba0-9fc6d21f8027,1306 EDINBORO LN,CARROLLTON,TX,75006-2988,dallas,1,SINGLE FAMILY RESIDENCES,SF-7/16,Single Family Residential District,Residential,Single Family,18,,1.0,1993.0,,,32.968616,-96.897911,268,X,AREA OF MINIMAL FLOOD HAZARD,F,-9999.0,NP,"Moderate/minimal risk (shaded=0.2%, unshaded=minimal)",ok,0,0,0,0,0,0,0,0,0,0.0,13,1.0,0.92,0,0,0.0,2,40000.0,0,13,78.0,299500.0,2,150000.0,31.5
32.794785,-96.940123,03a825e7-4b53-42cc-a5e8-56615762878d,500 E OAKDALE RD,IRVING,TX,75060,dallas,2,COMMERCIAL - VACANT PLOTTED LOTS/TRACTS,R-6,Single Family Residential,Residential,Single Family,LAND ONLY,0.0,,,,,32.795165,-96.939931,269,X,AREA OF MINIMAL FLOOD HAZARD,F,-9999.0,SFHAs WITH LOW FLOOD RISK,"Moderate/minimal risk (shaded=0.2%, unshaded=minimal)",ok,0,0,0,0,0,0,0,0,0,0.0,11,1.5,1.16,2,0,0.0,1,0.0,1,3,70.0,0.0,0,0.0,25.5
32.756592,-96.618663,7ef10882-d8e4-467c-9b43-bc1c8a831d67,1437 NEW MARKET RD,MESQUITE,TX,75149,dallas,1,SINGLE FAMILY RESIDENCES,R-3,Single Family Residential,Residential,Single Family,16,,,1992.0,,,32.756489,-96.618797,270,X,AREA OF MINIMAL FLOOD HAZARD,F,-9999.0,NP,"Moderate/minimal risk (shaded=0.2%, unshaded=minimal)",ok,0,0,0,0,0,0,0,0,0,0.0,11,2.0,1.24,3,1,217000.0,1,10000.0,0,5,65.0,105000.0,4,501020000.0,39.5
32.838596,-96.643742,c2b6b22d-62f6-4fa4-8b55-faa333714067,2700 LA PRADA DR,MESQUITE,TX,75150-1162,dallas,2,COMMERCIAL - VACANT PLOTTED LOTS/TRACTS,R-1,Single Family Residential,Residential,Single Family,LAND ONLY,0.0,,,,,32.838848,-96.643259,271,X,AREA OF MINIMAL FLOOD HAZARD,F,-9999.0,NP,"Moderate/minimal risk (shaded=0.2%, unshaded=minimal)",ok,0,0,0,0,0,0,0,0,0,0.0,7,1.75,1.11,1,0,7000.0,1,400000000.0,2,5,59.0,7000.0,1,20000.0,24.5
32.750676,-96.699796,5ddc5d9d-3be1-4995-975d-84cddf0de83b,7102 SORENSON CIR,DALLAS,TX,75227-9342,dallas,1,SINGLE FAMILY RESIDENCES,R-7.5(A,Single Family District 7500 Square Feet,Residential,Single Family,13,,1.0,1958.0,,,32.750467,-96.69916,272,X,AREA OF MINIMAL FLOOD HAZARD,F,-9999.0,NP,"Moderate/minimal risk (shaded=0.2%, unshaded=minimal)",ok,0,0,2,1,0,11,0,0,14,14.3,11,2.0,1.3,4,2,315000.0,1,10000.0,0,2,60.0,100000.0,4,500020000.0,46.0
32.867477,-96.582629,221fac97-9b6c-4856-ad83-8dd410812726,1529 PARKVIEW DR,GARLAND,TX,75043-7579,dallas,1,SINGLE FAMILY RESIDENCES,PD/SF-7,Planned Development Single Family 7,Planned,Planned,21,,2.0,1999.0,,,32.867648,-96.58259,273,X,AREA OF MINIMAL FLOOD HAZARD,F,-9999.0,NP,"Moderate/minimal risk (shaded=0.2%, unshaded=minimal)",ok,0,0,0,0,0,0,0,0,0,0.0,11,1.5,1.04,1,0,0.0,1,10000000.0,1,8,61.0,1027000.0,1,3000.0,27.0
